SCB2718	3
CB1113	50
SCB-1402	39
SCB-1302	38
SCB-1304	38
SCB-1312	38
SCB-1314	38
SCB-1404	37
RB5401	82
RB5101	85
RB5301	82
RB5201	84
RB5102	45
RB5103	55
BB1214	13
RB5101	88
	"
"
RB5102	48
RB5103	48
RB5104	48
RB5105	48
RB5201	87
RB5208	48
RB5209	48
RB5210	48
RB5301	87
RB5308	48
RB5309	48
RB5310	48
RB5401	87
RB5405	48
SCB-1402	40
SCB-1404	40
SCB-1412	40
SCB-1414	40
RB-3201	36
RB-3202	38
	"
"
RB-3205	38
RB-3206	38
RB-3210	38
RB-3211	37
RB-3301	46
RB-3302	46
RB-3304	35
RB-3305	38
RB-3309	36
RB-3310	36
RB-3401	37
RB-3402	35
RB-3403	35
RB-3405	35
PB2-106	9
SCB-1302	38
SCB-1304	40
SCB-1312	38
SCB-1314	38
RB5301	80
	"
"
RB5401	74
BB1310	10
BB1214	15
BB1100	20
CB1314	20
RB3301	55
RB3302	55
CSB100	11
CSB100	26
CSB100	6
GB100	38
SCB3205	44
RB5201	78
RB5208	26
RB5208	3
RB5201	3
PB1-230	35
PB1-330	35
PB2-205	21
	"
"
PB2-100	36
PB2-100	4
SCB4405-06	29
STB207	4
IMB 4406	42
IMB 4403	12
IMB 4401	6
BB1215	25
SCB2718	35
SCB3100	84
SCB3310	19
SCB2804	6
CSB100	49
CSB209	35
CSB210	44
RB5103	53
RB5104	53
RB5201	82
RB5301	60
RB5101	80
	"
"
RB5102	44
RB3210	45
RB3211	40
RB3301	60
RB3302	60
RB3304	45
RB3305	45
RB3309	45
RB5101	70
RB5102	45
RB5103	45
RB5104	45
RB5105	45
RB5201	70
RB5208	45
RB5209	45
RB5301	70
RB5401	70
SCB2814	37
BB1215	29
	"
"
RB5101	41
RB5102	41
RB5103	41
RB5104	41
RB5105	41
RB5201	41
BB1310	33
RB5301	65
RB5308	50
CB1113	40
CB1313	20
CSB100	56
SCB3100	66
SCB3205	60
GB200	13
GB202	27
RB5208	53
RB5209	28
RB5209	24
PB1-230	37
	"
"
PB2-100	50
PB1-330	39
PB2-106	8
PB2-106	1
IMB 4406	30
IMB 4403	13
PB2-205	21
BB1214	22
SCB2814	37
SCB2718	8
PB2-205	2
SCB3310	15
RB5101	70
RB5102	48
RB5103	48
RB5104	47
RB5201	85
RB5301	85
RB5401	84
BB1214	17
	"
"
PB2-205	18
BB1213	5
SCB2718	25
PB2-106	3
PB2-106	3
BB1310	8
RB5101	70
RB5201	70
RB5301	70
RB5401	70
RB5104	45
RB5105	45
RB5102	40
RB5103	45
CSB100	25
CSB100	21
CSB100	25
CSB209	16
CSB210	24
	"
"
CSB210	30
CSB209	4
SCB3100	65
SCB3205	60
SCB3206	22
RB5208	7
RB5208	13
RB5208	6
SCB-1302	40
SCB-1304	40
SCB-1312	40
SCB-1314	36
PB1-230	22
PB2-205	8
PB2-205	8
PB2-104	4
RB3301	58
	"
"
STB205	30
STB206	43
STB206	5
PB1-330	35
PB2-105	15
BB1214	14
SCB2804	1
PB2-104	6
SCB3311	16
RB5208	7
SCB2718	20
SCB2814	39
BB1100	31
BB1-A301	29
RB5104	45
RB5105	55
RB5308	45
RB5309	40
RB5101	70
	"
"
RB5102	45
RB5103	45
CSB100	19
CSB100	4
SCB3205	41
SCB3206	35
GB100	39
SCB3310	43
RB5201	58
RB5201	15
RB5201	5
RB5208	5
RB5208	3
RB5208	9
PB1-230	30
PB1-330	34
	"
"
PB2-100	55
PB2-106	9
PB2-205	9
STB205	31
STB206	48
STB205	6
IMB 4401	15
IMB 4403	19
IMB 2202	3
SCB-1302	35
PB2-106	4
PB2-205	11
RB5301	70
RB5401	70
RB3201	42
RB3202	42
RB3205	42
RB3206	42
RB3210	42
RB3211	42
	"
"
RB3301	42
RB3302	42
SCB2718	20
SCB2814	39
SCB2720	1
SCB3309	23
SCB3311	16
RB5208	7
RB5208	47
RB5209	47
RB5210	47
RB5308	47
RB5309	47
RB3304	45
RB3305	45
RB3309	45
RB3301	55
RB3302	60
RB5104	45
	"
"
CSB100	35
CSB100	15
CSB100	18
SCB3205	39
RB 5101	76
RB5201	80
RB5301	44
RB5301	29
RB5401	63
RB5102	41
RB5401	15
RB 5101	2
PB2-100	52
PB1-230	31
PB2-205	8
STB206	30
STB206	6
IMB 4403	14
PB2-106	15
PB2-105	10
	"
"
BB1214	12
SCB2804	4
PB2-105	6
SCB3310	23
SCB3311	19
PB2-205	3
RB5101	55
RB5101	65
RB3305	40
RB3309	35
CSB100	9
CSB100	21
SCB3206	14
RB5201	58
RB5201	3
RB5301	31
RB5301	43
RB5201	6
	"
"
RB5201	9
RB5301	6
SCB-1302	40
SCB-1304	40
SCB-1312	34
PB2-106	3
PB2-106	1
STB207	5
IMB 4406	49
RB3301	60
RB3302	60
RB3304	40
SCB3310	16
PB2-205	22
IMB 2202	2
PB2-106	2
PB2-106	3
BB1213	9
CB1113	30
	"
"
PB2-105	4
SCB2718	11
PB2-106	6
PB2-106	6
PB2-105	3
SCB2814	29
SCB2816	28
MB2111	45
	
SCB2814	32
	
SCB2804	7
	
RB5101	74
	
RB5102	40
	
RB5201	73
	
RB5301	73
	
PB1-230	40
	
PB1-330	40
	
SCB-1302	40
	
SCB-1304	42
	
SCB-1312	40
	
SCB-1314	39
	
SCB-1402	40
	
SCB-1404	42
	
