 ห้องประชุมใหญ่  ชั้น 12 อาคาร 12 ชั้น ,100
 ห้องบรรยาย 2  ชั้น 12  อาคาร 12 ชั้น ,75
 ห้องบรรยาย 1  ชั้น 1  อาคาร 12 ชั้น,36
 ห้องบรรยายศิษย์เก่าสัมพันธ์  ชั้น 1  อาคาร 12 ชั้น,50
 NT 301-302,75
 NT 304-305,75
 NT 306-307,75
