 ห้องประชุมใหญ่  ชั้น 12 อาคาร 12 ชั้น ,50
 ห้องบรรยาย 2  ชั้น 12  อาคาร 12 ชั้น ,30
 ห้องบรรยาย 1  ชั้น 1  อาคาร 12 ชั้น,15
 ห้องบรรยายศิษย์เก่าสัมพันธ์  ชั้น 1  อาคาร 12 ชั้น,30
 NT 301-302,30
 NT 304-305,30
 NT 306-307,30
